status	size	property_type	rooms	floor	year_built	property_condition	location
wtórny	48.0	apartamentowiec	2	2	2018	do zamieszkania	Wilda
wtórny	47.0	apartamentowiec	2	4	2021	zapytaj	Stare Miasto
wtórny	55.6	blok	3	1	2018	do zamieszkania	Stare Miasto
pierwotny	81.81	plomba	4	4	2023	do wykończenia	Wilda
brak informacji	55.78	brak informacji	3	2	brak informacji	do wykończenia	Jeżyce
wtórny	63.0	blok	3	4	2008	do remontu	Wilda
wtórny	79.4	apartamentowiec	3	10	1980	do zamieszkania	Nowe Miasto
wtórny	37.8	brak informacji	2	3	1970	do zamieszkania	Grunwald
brak informacji	111.07	brak informacji	4	3	brak informacji	do wykończenia	Grunwald
wtórny	59.0	apartamentowiec	2	0	brak informacji	brak informacji	Jeżyce
wtórny	43.34	blok	2	2	1972	do zamieszkania	Nowe Miasto
wtórny	45.51	dom wolnostojący	2	1	2001	do zamieszkania	Jeżyce
wtórny	43.05	kamienica	2	3	1930	do remontu	Grunwald
pierwotny	45.59	blok	3	3	2023	do wykończenia	Nowe Miasto
wtórny	76.33	kamienica	2	4	1910	do wykończenia	Stare Miasto
wtórny	95.44	szeregowiec	4	1	2017	do zamieszkania	Jeżyce
pierwotny	36.64	blok	2	3	2024	do wykończenia	Jeżyce
wtórny	33.7	blok	2	3	1963	do zamieszkania	Nowe Miasto
wtórny	62.0	blok	3	4	brak informacji	brak informacji	Podolany
wtórny	59.0	apartamentowiec	2	0	brak informacji	brak informacji	Jeżyce
brak informacji	71.38	brak informacji	3	0	brak informacji	do wykończenia	Nowe Miasto
wtórny	48.52	kamienica	2	3	1905	do wykończenia	Jeżyce
wtórny	54.6	dom wolnostojący	2	1	1959	do remontu	Grunwald
wtórny	43.17	blok	2	2	2022	do wykończenia	Stare Miasto
wtórny	79.4	apartamentowiec	3	10	1980	do zamieszkania	Nowe Miasto
pierwotny	31.8	blok	2	6	2023	do wykończenia	Nowe Miasto
wtórny	63.0	blok	3	2	2015	do zamieszkania	Stare Miasto
wtórny	65.69	kamienica	3	0	1912	do zamieszkania	Grunwald
wtórny	129.68	brak informacji	6	10	2022	do zamieszkania	Stare Miasto
wtórny	155.95	kamienica	5	0	1949	do remontu	Jeżyce
wtórny	43.61	apartamentowiec	2	2	2023	do wykończenia	Grunwald
wtórny	41.7	blok	2	3	1978	do zamieszkania	Grunwald
pierwotny	37.36	apartamentowiec	2	2	2024	do wykończenia	Stare Miasto
wtórny	128.5	blok	4	3	2000	do zamieszkania	Grunwald
pierwotny	55.0	blok	4	1	2023	do wykończenia	Nowe Miasto
pierwotny	43.06	blok	2	7	2024	zapytaj	Stare Miasto
wtórny	59.0	blok	2	0	2001	do zamieszkania	Grunwald
wtórny	62.0	kamienica	3	0	1950	zapytaj	Stare Miasto
wtórny	70.0	apartamentowiec	3	1	2011	do zamieszkania	Stare Miasto
wtórny	122.6	kamienica	4	3	1945	zapytaj	Jeżyce
wtórny	73.0	blok	4	8	brak informacji	brak informacji	Piątkowo
pierwotny	171.3	apartamentowiec	3	7	2023	do wykończenia	Stare Miasto
wtórny	54.11	kamienica	4	5	1910	do zamieszkania	Grunwald
pierwotny	40.0	blok	2	0	brak informacji	brak informacji	Junikowo
pierwotny	61.2	blok	4	1	2023	do wykończenia	Nowe Miasto
wtórny	56.0	blok	3	2	1987	do zamieszkania	Grunwald
brak informacji	39.47	brak informacji	2	0	brak informacji	do wykończenia	Grunwald
wtórny	58.8	brak informacji	2	0	2013	do zamieszkania	Stare Miasto
pierwotny	75.55	brak informacji	4	1	2025	do wykończenia	Nowe Miasto
wtórny	41.0	kamienica	1	3	brak informacji	brak informacji	Stare Miasto
wtórny	63.0	blok	3	2	2015	do zamieszkania	Stare Miasto
wtórny	38.0	blok	2	1	brak informacji	do zamieszkania	Nowe Miasto
wtórny	53.75	blok	2	1	2008	do zamieszkania	Stare Miasto
wtórny	67.4	blok	2	4	brak informacji	do zamieszkania	Nowe Miasto
wtórny	74.2	blok	3	3	brak informacji	do zamieszkania	Stare Miasto
wtórny	86.42	kamienica	3	1	brak informacji	do zamieszkania	Stare Miasto
wtórny	43.46	blok	2	5	2018	do zamieszkania	Nowe Miasto
wtórny	51.2	apartamentowiec	3	0	2013	do zamieszkania	Grunwald
wtórny	71.0	kamienica	2	1	1920	zapytaj	Wilda
wtórny	48.8	blok	2	2	1986	do zamieszkania	Nowe Miasto
wtórny	35.0	blok	2	4	2021	do zamieszkania	Nowe Miasto
wtórny	106.6	kamienica	3	3	1930	do zamieszkania	Grunwald
wtórny	31.15	brak informacji	1	0	2018	do zamieszkania	Grunwald
wtórny	66.0	brak informacji	3	4	brak informacji	zapytaj	Nowe Miasto
wtórny	64.0	blok	3	3	1990	do zamieszkania	Wilda
wtórny	51.0	blok	2	3	1955	do zamieszkania	Wilda
wtórny	52.82	blok	3	3	1975	do zamieszkania	Grunwald
pierwotny	49.4	blok	3	0	2023	do wykończenia	Nowe Miasto
wtórny	62.0	blok	3	4	brak informacji	brak informacji	Podolany
wtórny	32.23	blok	1	2	2023	do wykończenia	Stare Miasto
pierwotny	53.0	blok	3	1	2023	do wykończenia	Nowe Miasto
wtórny	100.0	blok	5	3	2019	zapytaj	Jeżyce
wtórny	51.2	apartamentowiec	3	0	2013	do zamieszkania	Grunwald
wtórny	58.0	kamienica	3	4	brak informacji	brak informacji	Łazarz
wtórny	101.3	kamienica	5	1	1942	do zamieszkania	Grunwald
wtórny	131.4	kamienica	3	2	1929	do zamieszkania	Grunwald
wtórny	46.26	blok	2	1	2023	do zamieszkania	Nowe Miasto
pierwotny	64.9	blok	4	2	2023	do wykończenia	Nowe Miasto
brak informacji	84.5	brak informacji	4	5	brak informacji	do wykończenia	Jeżyce
wtórny	46.92	kamienica	2	2	brak informacji	do zamieszkania	Wilda
pierwotny	45.33	blok	2	7	2024	do wykończenia	Grunwald
wtórny	56.0	blok	3	1	brak informacji	brak informacji	Grunwald
pierwotny	53.0	blok	3	1	2023	do wykończenia	Nowe Miasto
wtórny	48.2	blok	2	2	brak informacji	do zamieszkania	Jeżyce
wtórny	1094.0	kamienica	1	0	1939	do zamieszkania	Grunwald
wtórny	74.0	szeregowiec	3	0	2015	do zamieszkania	Grunwald
wtórny	53.35	kamienica	2	2	brak informacji	do zamieszkania	Grunwald
pierwotny	61.24	blok	4	8	2023	do wykończenia	Nowe Miasto
pierwotny	55.0	blok	3	2	2025	zapytaj	Stare Miasto
wtórny	48.0	kamienica	3	3	1910	do remontu	Wilda
wtórny	53.0	blok	3	4	brak informacji	zapytaj	Jeżyce
pierwotny	49.48	blok	3	1	2023	do wykończenia	Nowe Miasto
wtórny	82.82	apartamentowiec	3	10	2022	do zamieszkania	Nowe Miasto
wtórny	112.0	kamienica	3	3	1908	do zamieszkania	Grunwald
wtórny	55.4	blok	3	10	brak informacji	zapytaj	Grunwald
wtórny	70.3	kamienica	2	0	brak informacji	do zamieszkania	Jeżyce
wtórny	102.0	dom wolnostojący	4	1	1968	do zamieszkania	Grunwald
wtórny	65.0	blok	3	1	2009	do zamieszkania	Jeżyce
wtórny	53.81	kamienica	2	0	1910	do remontu	Jeżyce
wtórny	63.9	brak informacji	3	3	brak informacji	do zamieszkania	Nowe Miasto
pierwotny	19.6	brak informacji	1	0	2023	zapytaj	Nowe Miasto
pierwotny	51.2	blok	2	0	2024	do wykończenia	Jeżyce
pierwotny	41.0	pozostałe	1	0	brak informacji	brak informacji	Jeżyce
pierwotny	62.0	blok	3	6	2022	do zamieszkania	Jeżyce
brak informacji	25.12	brak informacji	1	1	brak informacji	do wykończenia	Grunwald
wtórny	64.2	kamienica	3	4	1906	do wykończenia	Stare Miasto
wtórny	76.45	kamienica	4	2	brak informacji	zapytaj	Stare Miasto
wtórny	32.04	blok	1	2	2006	do zamieszkania	Nowe Miasto
wtórny	31.74	blok	2	5	2023	do zamieszkania	Nowe Miasto
pierwotny	41.46	blok	2	8	2023	do wykończenia	Nowe Miasto
wtórny	49.9	blok	2	2	1927	zapytaj	Stare Miasto
wtórny	65.8	kamienica	3	2	1910	do remontu	Grunwald
pierwotny	46.38	blok	2	0	2023	do wykończenia	Grunwald
pierwotny	58.0	blok	3	3	2024	do wykończenia	Nowe Miasto
wtórny	87.0	blok	3	0	brak informacji	brak informacji	Rataje
wtórny	49.5	kamienica	2	2	brak informacji	do zamieszkania	Wilda
wtórny	69.0	kamienica	3	4	brak informacji	brak informacji	Wilda
wtórny	78.0	kamienica	3	3	brak informacji	do wykończenia	Jeżyce
pierwotny	27.62	blok	1	7	2024	do wykończenia	Nowe Miasto
wtórny	66.96	blok	3	2	2023	do zamieszkania	Grunwald
wtórny	70.8	blok	4	2	2016	do zamieszkania	Nowe Miasto
brak informacji	64.17	brak informacji	3	0	brak informacji	do wykończenia	Grunwald
wtórny	59.0	blok	3	4	2020	do zamieszkania	Jeżyce
wtórny	27.5	kamienica	2	3	1923	do zamieszkania	Grunwald
wtórny	36.0	kamienica	2	1	brak informacji	do zamieszkania	Grunwald
wtórny	64.2	kamienica	3	4	1906	do wykończenia	Stare Miasto
pierwotny	81.89	kamienica	2	0	1927	do wykończenia	Wilda
wtórny	38.0	blok	2	powyżej 10	brak informacji	brak informacji	Winogrady
wtórny	48.0	kamienica	2	4	brak informacji	brak informacji	Wilda
pierwotny	48.0	apartamentowiec	3	3	brak informacji	brak informacji	Podolany
wtórny	58.0	kamienica	3	4	brak informacji	brak informacji	Łazarz
wtórny	77.78	blok	4	4	2023	do wykończenia	Nowe Miasto
wtórny	47.5	blok	2	4	2001	do zamieszkania	Grunwald
wtórny	33.39	kamienica	2	1	brak informacji	zapytaj	Stare Miasto
wtórny	86.17	brak informacji	3	1	1960	do zamieszkania	Grunwald
wtórny	47.0	blok	2	10	brak informacji	do zamieszkania	Stare Miasto
wtórny	38.0	pozostałe	2	3	brak informacji	brak informacji	Stare Miasto
wtórny	132.0	kamienica	4	4	1880	do zamieszkania	Stare Miasto
wtórny	230.02	kamienica	1	1	brak informacji	zapytaj	Stare Miasto
pierwotny	43.69	blok	2	2	2023	do wykończenia	Grunwald
wtórny	42.0	blok	2	1	brak informacji	zapytaj	Grunwald
pierwotny	31.8	blok	3	8	2023	do wykończenia	Nowe Miasto
wtórny	69.7	blok	3	2	2019	do zamieszkania	Stare Miasto
wtórny	77.71	blok	3	2	brak informacji	do zamieszkania	Stare Miasto
wtórny	32.0	brak informacji	2	3	1992	zapytaj	Nowe Miasto
wtórny	44.9	kamienica	2	1	1955	do zamieszkania	Stare Miasto
wtórny	47.54	apartamentowiec	3	4	2017	do zamieszkania	Nowe Miasto
pierwotny	64.9	blok	1	2	2023	do wykończenia	Nowe Miasto
wtórny	41.0	blok	2	1	1960	do wykończenia	Nowe Miasto
wtórny	59.0	blok	2	2	1962	do remontu	Grunwald
brak informacji	60.44	brak informacji	3	0	brak informacji	do wykończenia	Grunwald
wtórny	64.0	blok	2	10	1972	do zamieszkania	Stare Miasto
pierwotny	110.51	apartamentowiec	4	5	2025	do wykończenia	Grunwald
pierwotny	35.37	apartamentowiec	2	4	brak informacji	do wykończenia	Nowe Miasto
wtórny	69.2	apartamentowiec	3	0	2008	zapytaj	Jeżyce
wtórny	105.0	kamienica	3	3	brak informacji	do zamieszkania	Grunwald
brak informacji	75.43	brak informacji	3	0	brak informacji	do wykończenia	Nowe Miasto
wtórny	43.65	kamienica	2	3	1900	do zamieszkania	Stare Miasto
wtórny	50.0	blok	2	1	1960	do zamieszkania	Stare Miasto
pierwotny	44.73	blok	3	0	2024	do wykończenia	Stare Miasto
wtórny	27.8	apartamentowiec	1	1	2014	do zamieszkania	Stare Miasto
wtórny	70.0	kamienica	2	3	1980	zapytaj	Grunwald
brak informacji	69.82	brak informacji	4	2	brak informacji	do wykończenia	Nowe Miasto
pierwotny	54.65	blok	3	3	2023	do wykończenia	Nowe Miasto
wtórny	64.0	blok	3	1	brak informacji	brak informacji	Piątkowo
pierwotny	41.63	blok	2	1	2024	zapytaj	Stare Miasto
wtórny	43.06	kamienica	2	2	brak informacji	do zamieszkania	Stare Miasto
wtórny	28.0	kamienica	1	0	1905	do zamieszkania	Stare Miasto
wtórny	21.07	kamienica	1	2	1920	do wykończenia	Stare Miasto
wtórny	87.0	blok	3	0	brak informacji	brak informacji	Rataje
wtórny	110.25	kamienica	3	1	1912	do zamieszkania	Grunwald
pierwotny	41.6	blok	2	zapytaj	2023	do wykończenia	Nowe Miasto
pierwotny	52.0	blok	3	0	2023	do wykończenia	Nowe Miasto
wtórny	34.53	kamienica	1	4	1900	do wykończenia	Stare Miasto
wtórny	70.0	blok	3	0	2010	zapytaj	Stare Miasto
wtórny	104.0	blok	5	8	2015	do zamieszkania	Grunwald
wtórny	43.9	blok	2	4	1970	do zamieszkania	Nowe Miasto
wtórny	126.1	kamienica	4	0	1930	do remontu	Jeżyce
wtórny	182.5	kamienica	5	3	1930	do zamieszkania	Grunwald
pierwotny	25.89	blok	1	2	2024	do wykończenia	Nowe Miasto
wtórny	82.0	blok	3	4	brak informacji	do zamieszkania	Grunwald
